artist,type,gender,start_date
Taylor Swift,individual,female,1989
Drake,individual,male,1986
BTS,group,,2010
Bad Bunny,individual,male,1994
The Weeknd,individual,male,1990
Ariana Grande,individual,female,1993
Ed Sheeran,individual,male,1991
Post Malone,individual,male,1995
Lana Del Rey,individual,female,1985
Billie Eilish,individual,female,2001
Travis Scott,individual,male,1991
Justin Bieber,individual,male,1994
One Direction,group,,2010
Juice WRLD,individual,male,1998
Kanye West,individual,female,1977
Kendrick Lamar,individual,male,1987
XXXTENTACION,individual,male,1998
Imagine Dragons,group,,2008
J. Cole,individual,male,1985
Rihanna,individual,female,1988
J Balvin,individual,male,1985
Harry Styles,individual,male,1994
Twenty One Pilots,group,,2009
Eminem,individual,male,1972
Lil Uzi Vert,individual,female,1995
KAROL G,individual,female,1991
SZA,individual,female,1989
David Guetta,individual,male,1967
Kygo,individual,male,1991
Calvin Harris,individual,male,1984
Maluma,individual,male,1994
Mac Miller,individual,male,1992
Morgan Wallen,individual,male,1993
Shawn Mendes,individual,male,1998
Dua Lipa,individual,female,1995
"Tyler, The Creator",individual,male,1991
Bruno Mars,individual,male,1985
Nicki Minaj,individual,female,1982
Future,individual,male,
Beyoncé,individual,female,1981
BLACKPINK,group,,
Lil Peep,group,,1996
Rauw Alejandro,individual,male,1993
Doja Cat,individual,female,1995
Sam Smith,individual,female,1992
Frank Ocean,individual,male,1987
Daddy Yankee,individual,male,1977
Adele,individual,female,1988
Khalid,individual,male,1998
The Chainsmokers,group,,2014
Lady Gaga,individual,female,1986
Coldplay,group,,1997
Sia,individual,female,1975
Jason Derulo,individual,male,1989
Marília Mendonça,individual,female,1995
OneRepublic,group,,2002
Maroon 5,group,,1994
Pop Smoke,individual,male,1999
Bizarrap,individual,male,1998
The Neighbourhood,group,,2011
Lil Baby,individual,male,1994
NF,group,,
Chris Brown,individual,male,1989
Luke Combs,individual,male,1990
Banda MS de Sergio Lizárraga,,,
Katy Perry,individual,female,1984
Selena Gomez,individual,female,1992
Ozuna,individual,male,1992
Anuel AA,,,
Lorde,individual,female,1996
Trippie Redd,individual,male,1999
Playboi Carti,individual,male,1995
Nicky Jam,individual,male,1981
Metro Boomin,individual,male,1993
Camilo,group,,
Joji,individual,male,1992
Melanie Martinez,individual,female,1995
Halsey,group,,
21 Savage,individual,male,1992
Olivia Rodrigo,individual,female,2003
Morat,group,,
Avicii,group,,1989
Henrique & Juliano,group,,
$uicideboy$,,,
Pitbull,group,,
Machine Gun Kelly,group,,
Sebastian Yatra,individual,male,1994
TWICE,group,,2015
Peso Pluma,individual,male,1999
Tiësto,individual,male,1969
Polo G,individual,male,1999
The Kid LAROI,individual,male,2003
Alan Walker,individual,male,1997
Camila Cabello,individual,female,1997
Wiz Khalifa,individual,male,1987
Shakira,individual,female,1977
G-Eazy,individual,male,1989
Christian Nodal,individual,male,1999
Feid,individual,male,1992
Martin Garrix,individual,male,1996
DJ Khaled,individual,male,1975
Luke Bryan,individual,female,1976
A$AP Rocky,,,
Jorge & Mateus,group,,1982
Matheus & Kauan,group,,1994
Thomas Rhett,individual,female,1990
ZAYN,group,,
Lauv,individual,male,1994
Michael Bublé,individual,male,1975
The 1975,group,,1975
P!nk,,,
Little Mix,group,,2020
Demi Lovato,individual,female,1992
Zé Neto & Cristiano,,,
Grupo Firme,group,,2014
Florida Georgia Line,group,,2010
Logic,group,,
Marshmello,individual,female,1992
A Boogie Wit da Hoodie,individual,male,1995
Migos,group,,2008
Pritam,individual,male,1971
6ix9ine,,,
Reik,group,,2003
Ellie Goulding,individual,female,1986
Tame Impala,group,,
Panic! At The Disco,group,,2004
Bring Me The Horizon,group,,2004
Childish Gambino,individual,female,1983
Tory Lanez,individual,female,1992
Hozier,individual,female,1990
5 Seconds of Summer,group,,2011
Young Thug,individual,male,1991
Myke Towers,individual,male,1994
Linkin Park,group,,2017
Kodak Black,individual,male,1997
Lil Wayne,individual,male,1982
Tyga,individual,female,1989
James Arthur,individual,female,1988
Russ,group,,
Gusttavo Lima,individual,male,1989
Robin Schulz,individual,male,1987
Cardi B,individual,female,1992
Jack Harlow,individual,male,1998
ROSALÍA,individual,female,1992
Arctic Monkeys,group,,2002
DaBaby,individual,male,1991
Sech,group,,
Paulo Londra,individual,male,1998
Junior H,individual,male,2000
blackbear,group,,
Bryson Tiller,individual,male,1993
Prince Royce,individual,male,1989
Charlie Puth,individual,male,1991
Måneskin,group,,2016
Manuel Turizo,individual,male,2000
Rels B,individual,male,1993
Major Lazer,group,,2008
Zedd,individual,male,1989
Lewis Capaldi,individual,male,1996
TINI,group,,
Lil Tjay,individual,male,2001
Conan Gray,individual,male,1998
Becky G,individual,female,1997
YOASOBI,group,,2019
Lil Nas X,individual,male,1999
Fall Out Boy,group,,2001
Big Sean,individual,male,1988
Chance the Rapper,individual,male,1993
Piso 21,group,,
DJ Snake,,,
Rex Orange County,individual,female,1998
Tate McRae,,,
Farruko,individual,male,1991
Mac DeMarco,individual,male,1990
Lil Tecca,individual,male,2002
Megan Thee Stallion,individual,female,1995
Rae Sremmurd,group,,2013
Meghan Trainor,individual,female,1993
Alok,group,,
Jesse & Joy,group,,2005
Alfredo Olivas,individual,female,1994
Bazzi,group,,
Summer Walker,individual,female,1996
Hailee Steinfeld,individual,female,1996
Brent Faiyaz,individual,male,1995
Enrique Iglesias,individual,male,1975
Miley Cyrus,individual,female,1992
Fuerza Regida,group,,2023
PARTYNEXTDOOR,individual,male,1993
Sigala,individual,male,1992
Troye Sivan,individual,male,1995
Diplo,group,,1978
Labrinth,individual,male,1989
Natanael Cano,individual,male,2001
Meek Mill,individual,male,1987
Plan B,group,,
Gunna,group,,
Ava Max,individual,female,1994
LANY,group,,
Niall Horan,group,,1993
NewJeans,group,,1990
Lost Frequencies,individual,male,1993
Clean Bandit,group,,2008
Daniel Caesar,individual,male,1995
John Mayer,individual,male,1977
Chase Atlantic,group,,2014
Calibre 50,group,,2010
Chris Stapleton,individual,male,1978
Cartel De Santa,group,,1998
Alec Benjamin,individual,male,1994
Bebe Rexha,individual,female,1989
Duki,group,,
C. Tangana,individual,male,1990
alt-J,group,,2007
Lizzo,individual,female,1988
TOMORROW X TOGETHER,group,,2019
Wisin,individual,male,1979
AJR,group,,2005
Clairo,individual,female,1998
Fifth Harmony,group,,2016
Yeat,individual,male,2000
NAV,group,,
Gorillaz,group,,1998
The Lumineers,group,,2005
YNW Melly,,,
Guilherme & Benuto,,,
Dan + Shay,group,,
Eladio Carrion,individual,male,1994
Miguel,group,,
Dave,group,,
Galantis,group,,2017
Blake Shelton,individual,male,1976
Romeo Santos,individual,female,1981
James Bay,group,,
Roddy Ricch,individual,male,1998
La Adictiva,,,
Arcángel,individual,male,1985
Skrillex,individual,male,1988
Kesha,individual,female,1987
Matuê,,,
Lil Skies,individual,male,1998
2 Chainz,individual,male,1977
Luis Fonsi,individual,male,1978
Why Don't We,,,
Alessia Cara,individual,female,1996
Kehlani,individual,female,1995
Mumford & Sons,group,,2007
Lee Brice,individual,female,1979
EXO,group,,2011
Jonas Blue,individual,male,1989
Jhayco,individual,male,1993
Madison Beer,individual,female,1999
Kid Ink,individual,male,1986
Glass Animals,group,,2010
Nick Jonas,group,,1992
Don Omar,individual,male,1978
Jason Aldean,individual,male,1977
Stray Kids,group,,2017
Rod Wave,individual,male,1998
Vance Joy,individual,male,1987
Lil Yachty,individual,male,1997
NLE Choppa,,,
Sean Paul,individual,male,1973
H.E.R.,individual,female,1997
Red Velvet,group,,
Justin Quiles,individual,male,1990
Ty Dolla $ign,,,
Sabrina Carpenter,individual,female,1999
Anitta,group,,
George Ezra,individual,male,1993
Flo Rida,individual,male,1979
Mora,group,,
Jhené Aiko,group,,1988
Cole Swindell,individual,female,1983
Dean Lewis,individual,male,1987
Jess Glynne,individual,female,1989
Anne-Marie,individual,female,1991
NIKI,group,,
Kane Brown,individual,male,1993
PNL,,,
Steve Lacy,individual,male,1998
USHER,group,,
Mitski,individual,female,1990
Burna Boy,individual,male,1991
B.o.B,individual,male,1988
Maria Becerra,individual,female,2000
UZI,group,,1940
MARINA,group,,
Zara Larsson,individual,female,1997
Dalex,group,,1990
Birdy,group,,
Flume,group,,
Ninho,individual,male,1996
Rita Ora,individual,female,1990
Central Cee,individual,male,1998
ScHoolboy Q,individual,male,1986
benny blanco,individual,male,1988
Carlos Rivera,individual,male,1986
girl in red,individual,female,1999
Shubh,individual,male,1997
Alesso,individual,male,1991
Jessie J,individual,female,1988
Bastille,group,,1789
Kid Cudi,individual,male,1984
Jeremih,individual,male,1987
The Black Keys,group,,2001
Red Hot Chili Peppers,group,,1982
Kevin Gates,individual,male,1986
Quevedo,group,,
Jordan Davis,group,,
Baby Keem,individual,male,2000
Ben&Ben,group,,2017
El Fantasma,group,,
Old Dominion,group,,
Foster The People,group,,2009
Yandel,individual,male,1978
Juan Magán,individual,male,1978
Ski Mask The Slump God,individual,male,1996
Disclosure,group,,
Gustavo Mioto,individual,male,1997
Joel Corry,individual,male,1989
Jax Jones,individual,male,1987
Leslie Odom Jr.,individual,male,1981
JAY-Z,individual,male,1969
Stromae,individual,male,1985
Jeremy Zucker,individual,male,1996
Daft Punk,group,,1993
Luan Santana,individual,male,1991
John Legend,individual,male,1978
Julión Álvarez y su Norteño Banda,,,
MEDUZA,group,,2014
LE SSERAFIM,group,,2022
Ha*Ash,group,,2002
Grupo Marca Registrada,group,,2023
Five Finger Death Punch,group,,2005
Lunay,group,,
YoungBoy Never Broke Again,individual,male,1999
Carin Leon,group,,1989
ITZY,group,,2019
Os Barões Da Pisadinha,,,
Zé Felipe,individual,male,1998
24kGoldn,,,
The Vamps,group,,
Arijit Singh,individual,male,1987
Jonas Brothers,group,,2005
Giveon,individual,male,1995
Apache 207,individual,male,1997
Sleeping At Last,group,,2000
Black Eyed Peas,group,,2000
Ghostemane,individual,male,1991
Cage The Elephant,group,,2006
ENHYPEN,group,,2020
PinkPantheress,individual,female,2001
Tiago PZK,,,
Ryan Castro,individual,male,1994
Diego & Victor Hugo,,,
Israel & Rodolffo,,,
Kali Uchis,individual,female,1994
Avenged Sevenfold,group,,1999
Gerardo Ortiz,individual,female,1989
Vishal-Shekhar,group,,
Pablo Alborán,individual,male,1989
Danny Ocean,group,,
The Script,group,,2001
Lil Dicky,individual,male,1988
Lin-Manuel Miranda,individual,female,1980
KHEA,individual,male,2000
Andy Grammer,individual,male,1983
Swedish House Mafia,group,,2008
Ella Mai,individual,female,1994
Joyner Lucas,individual,male,1988
Mau y Ricky,,,
Nio Garcia,,,
IU,group,,
Tulus,group,,
Eric Church,individual,male,1977
Dermot Kennedy,individual,male,1991
Train,group,,
CNCO,group,,2021
Cali Y El Dandee,group,,2008
Florence + The Machine,group,,2007
Fetty Wap,individual,male,1991
aespa,group,,2020
Maná,group,,1981
Gryffin,individual,male,1987
Felix Jaehn,individual,male,2015
Rich Music LTD,,,
Rvssian,individual,female,1992
Alejandro Fernández,individual,male,1971
DNCE,group,,2015
Kungs,individual,male,1996
Jon Bellion,individual,male,1990
Aya Nakamura,individual,female,1995
Odetari,individual,male,2000
ANAVITÓRIA,group,,2015
Cuco,group,,
Noah Cyrus,individual,female,2000
Wisin & Yandel,group,,1990
Ofenbach,group,,
Los Ángeles Azules,group,,1950
Gucci Mane,individual,male,1980
A$AP Ferg,,,
Jon Pardi,individual,male,1985
Carlos Vives,individual,male,1961
Danna Paola,individual,female,1995
6LACK,individual,male,1992
Pharrell Williams,individual,male,1973
iann dior,individual,male,1999
V,group,,
James TW,,,
Cheat Codes,group,,
Zach Bryan,individual,male,1996
Brett Young,group,,
Kacey Musgraves,individual,female,1988
Ruth B.,individual,female,1995
Trey Songz,individual,male,1984
Mon Laferte,individual,female,1983
keshi,group,,
Charli XCX,individual,female,1992
Canserbero,individual,male,1988
OFFICIAL HIGE DANDISM,group,,2012
Deorro,individual,male,1991
Skillet,group,,
Saweetie,individual,female,1993
Pamungkas,individual,male,1993
Anirudh Ravichander,individual,female,1990
Yung Gravy,individual,male,1996
David Bisbal,individual,male,1979
Alex Rose,group,,
Alan Menken,individual,male,1949
Dustin Lynch,individual,female,1985
Noah Kahan,individual,male,1997
Kings of Leon,group,,1999
Manuel Medrano,individual,male,1987
El Alfa,individual,male,1990
The Killers,group,,2001
The Score,group,,
Julia Michaels,individual,female,1993
Quinn XCII,,,
NATTI NATASHA,individual,female,1986
Zac Brown Band,group,,
Lil Pump,individual,male,2000
Hillsong Worship,group,,1983
Brett Eldredge,individual,male,1986
Tyler Childers,individual,male,1991
Russell Dickerson,individual,female,1987
Jung Kook,individual,female,1997
Los Plebes del Rancho de Ariel Camacho,,,
Tones And I,individual,female,2019
VIZE,group,,2022
KYLE,group,,
SEVENTEEN,group,,
Kevin Kaarl,individual,male,2000
j-hope,individual,male,1994
Cavetown,individual,male,1998
Slipknot,group,,
Iggy Azalea,individual,female,1990
Don Toliver,individual,male,1994
French Montana,individual,male,1984
The Head And The Heart,,,
Internet Money,group,,
BoyWithUke,,,
Chris Young,group,,
Alejandro Sanz,individual,male,1968
IVE,group,,
Britney Spears,individual,female,1981
Of Monsters and Men,group,,2010
Olly Murs,individual,male,1984
Zack Tabudlo,individual,male,2001
Carla Morrison,individual,male,1986
Purple Disco Machine,individual,male,1980
Zoé,group,,
Sleepy Hallow,individual,male,1999
(G)I-DLE,,,
will.i.am,individual,male,1975
Wale,group,,
Chief Keef,individual,male,1995
PEDRO SAMPAIO,individual,male,1997
Jennifer Lopez,individual,female,1969
Paramore,group,,2004
Justin Timberlake,individual,male,1981
Milky Chance,group,,2013
Avril Lavigne,individual,female,1984
Ben Howard,individual,male,1986
Lil Durk,individual,male,1992
Dierks Bentley,individual,male,1975
DENNIS,group,,
Night Lovell,individual,male,1997
AURORA,group,,
Rudimental,group,,2013
Oh Wonder,group,,2014
Camila,group,,
Tove Lo,individual,female,1987
YBN Nahmir,,,
Hans Zimmer,individual,female,1957
Phoebe Bridgers,individual,female,1994
MC Kevin o Chris,,,
Alabama Shakes,group,,2009
Grupo Frontera,group,,2019
BØRNS,individual,male,1992
KALEO,group,,
Zion & Lennox,group,,2004
Young the Giant,group,,2004
X Ambassadors,group,,2015
Marc Anthony,individual,male,1968
Tay-K,individual,male,2000
League of Legends,group,,2009
Nicki Nicole,individual,female,2000
Wesley Safadão,individual,male,1988
BLANCO,group,,
Rammstein,group,,1994
Still Woozy,individual,male,1992
Kelsea Ballerini,individual,female,1993
Freddie Dredd,individual,female,1997
Jaymes Young,individual,male,1991
CRO,group,,
King Von,individual,female,1994
Bailey Zimmerman,individual,male,2000
Indila,individual,female,1984
Billy Currington,individual,male,1973
Sam Feldt,individual,male,1993
AP Dhillon,,,
Calle 13,group,,
León Larregui,,,
Macklemore,individual,male,1983
Oliver Tree,individual,male,1993
Jimin,individual,male,1995
Mike WiLL Made-It,individual,female,1989
Key Glock,individual,male,1997
Martin Solveig,individual,male,1976
BONES,group,,
Jason Mraz,individual,male,1977
Maren Morris,individual,female,1990
BROCKHAMPTON,group,,
ODESZA,group,,2012
Brytiago,individual,male,1992
Tom Odell,individual,male,1990
Passenger,group,,
TV Girl,,,
Hugo & Guilherme,,,
Stormzy,individual,male,1993
Natalia Lafourcade,individual,female,1984
The Game,group,,
Carly Rae Jepsen,individual,female,1985
Aitana,group,,
Damso,individual,male,1992
Daya,group,,
Phillipa Soo,individual,female,1990
Soolking,individual,male,1989
Aminé,individual,male,1994
CKay,,,
Eslabon Armado,group,,2017
Jake Owen,individual,male,1981
Lukas Graham,group,,2012
Ice Spice,individual,female,2000
Yuridia,individual,female,1986
Kodaline,group,,2012
Calum Scott,individual,male,1988
Fiersa Besari,individual,male,1984
Jack Ü,group,,2013
Wallows,group,,2017
Dilsinho,individual,male,1992
Falling In Reverse,group,,2008
Two Feet,individual,male,1993
MadeinTYO,,,
Vigiland,group,,2013
Pink Sweat$,individual,male,1992
K/DA,,,
Louis Tomlinson,individual,male,1991
Boy Wonder CF,,,
Mustard,group,,
Volbeat,group,,2001
Two Door Cinema Club,group,,2007
MAX,group,,
Santa Fe Klan,individual,female,
João Gomes,group,,
Dominic Fike,individual,male,1995
Bo Burnham,individual,male,1990
1nonly,,,
Montell Fish,,,
Lil Mosey,individual,male,2002
Agust D,individual,male,2016
Christina Perri,individual,female,1986
La Arrolladora Banda El Limón De Rene Camacho,,,
Cody Johnson,individual,male,1987
Steve Aoki,individual,female,1977
Joey Bada$$,individual,male,1995
Armin van Buuren,individual,male,1976
Ghost,group,,
YG,group,,
JVKE,individual,male,2001
Kelly Clarkson,individual,female,1982
Keith Urban,individual,male,1967
Liam Payne,individual,male,1993
Río Roma,individual,male,1981
Axwell /\ Ingrosso,group,,2014
Cosculluela,individual,male,1980
Offset,group,,
Lady A,group,,2020
Chase Rice,individual,male,1985
PnB Rock,individual,male,1991
Tainy,individual,male,1989
JACKBOYS,individual,female,2019
The Living Tombstone,group,,2011
SYML,,,
Tori Kelly,individual,female,1992
Whethan,individual,male,1999
T-Pain,individual,male,1984
Fergie,group,,
RADWIMPS,group,,2003
Matoma,individual,male,1991
Rich The Kid,individual,male,1992
Tayc,individual,male,1996
Leon Bridges,individual,male,1989
Pierce The Veil,group,,2006
Ado,group,,
Ed Maverick,individual,male,2001
Jay Rock,individual,male,1985
Felipe Araújo,,,
Sofía Reyes,individual,female,1995
Disturbed,group,,
CORPSE,group,,
Matisse,group,,1869
Sara Bareilles,individual,female,1979
WILLOW,group,,
Yuuri,group,,
Imanbek,individual,male,2000
Rick Ross,individual,male,1976
Wizkid,individual,male,1990
Riton,group,,
Ezhel,individual,male,1991
RAF Camora,,,
Emeli Sandé,individual,female,1987
Juan Gabriel,individual,male,1950
T.I.,individual,male,1980
Snakehips,group,,
Melendi,individual,male,1979
Aloe Blacc,individual,male,1979
Kina,group,,
Vaundy,individual,male,2019
Quality Control,group,,
David Kushner,group,,
Banda Los Recoditos,group,,1989
Olivia O'Brien,individual,female,1999
KayBlack,,,
MØ,individual,female,1988
Christopher Jackson,group,,
Nelly,individual,male,1974
Alvaro Soler,individual,male,1991
Miranda Lambert,individual,female,1983
"Tito ""El Bambino""",individual,male,1981
Juanes,group,,1972
Sachin-Jigar,group,,2018
Seeb,group,,2020
Mike Perry,group,,
Martin Jensen,group,,
Eli Young Band,group,,2002
Foo Fighters,group,,1994
Far East Movement,group,,2003
Astrid S,individual,female,1996
Beret,group,,
MK,group,,
Maiara & Maraisa,individual,female,1987
Fred again..,individual,male,1993
Luan Pereira,,,
Emilia,group,,
Rich Brian,individual,male,1999
Mimi Webb,individual,female,2000
Phil Collins,individual,male,1951
Kordhell,individual,male,1980
EDEN,group,,
Nardo Wick,individual,male,2001
M83,group,,
LMFAO,group,,
Ivan Cornejo,individual,male,2004
Sam Hunt,individual,male,1984
Dread Mar I,individual,male,1978
Angus & Julia Stone,group,,2006
Moneybagg Yo,individual,male,1991
Mc Livinho,,,
Masego,group,,
Selena Gomez & The Scene,group,,2008
Bryant Myers,individual,male,1998
Mari Fernandez,,,
Adie,group,,
Icona Pop,group,,2009
Jorja Smith,individual,female,1997
Kenshi Yonezu,individual,male,2009
fun.,group,,2008
Greeicy,individual,female,1992
MKTO,,,
Maggie Rogers,individual,female,1994
Bausa,group,,
Cashmere Cat,individual,male,1987
Bea Miller,individual,female,1999
ILLENIUM,individual,male,1990
Alina Baraz,individual,female,1993
MisterWives,group,,
Shouse,group,,
Wolfine,individual,female,1978
Lauren Daigle,individual,female,1991
Veigh,,,
JP Cooper,,,
Tom Walker,group,,
Clinton Kane,individual,male,2021
Chris Jedi,individual,female,1989
Eric Bellinger,individual,male,1984
Sofi Tukker,group,,2017
Beach Bunny,group,,
Lykke Li,individual,female,1986
Los Cadetes De Linares,,,
Rkomi,individual,male,1994
Phantogram,group,,
Rodney Atkins,individual,male,1969
Beach House,group,,2004
Klingande,individual,male,1990
Trueno,group,,
London Grammar,group,,2009
Fitz and The Tantrums,group,,2008
Queen,group,,
Quavo,group,,1991
Cochise,group,,1805
Dayglow,individual,female,1999
Remmy Valenzuela,individual,male,1990
SALES,group,,
Dreamville,individual,male,
Arthur Nery,individual,male,1996
Surfaces,group,,
Shoreline Mafia,group,,2017
Ana Castela,individual,female,2003
Hillsong UNITED,group,,1998
Chris Lane,individual,female,1984
Ruel,group,,
Michael Jackson,individual,male,1958
Shinedown,group,,2001
Rvfv,,,
Jay Wheeler,individual,male,1994
GIMS,individual,male,1986
Ariel Camacho y Los Plebes Del Rancho,,,
Capital Bra,individual,male,1994
Kenny Chesney,individual,male,1968
Fujii Kaze,individual,male,1997
Ashe,group,,
WALK THE MOON,group,,2006
Tinie Tempah,individual,male,1988
L7NNON,,,
Brantley Gilbert,individual,male,1985
Sub Urban,group,,
Juan Luis Guerra 4.40,,,
Boyce Avenue,group,,2011
Rema,group,,
Boza,group,,
Rainbow Kitten Surprise,group,,
Russ Millions,individual,male,1996
R3HAB,individual,female,1986
Luis R Conriquez,individual,female,2023
Three Days Grace,group,,1992
Duelo,group,,2000
Ricky Martin,individual,male,1971
NOTD,,,
Turma do Pagode,,,
Regard,group,,
Los Auténticos Decadentes,group,,1986
Sage The Gemini,individual,male,1992
Catfish and the Bottlemen,,,
Tiara Andini,individual,female,2001
Atif Aslam,individual,male,1983
Blueface,individual,male,1997
Bryce Vine,individual,male,1988
RÜFÜS DU SOL,group,,2010
Nipsey Hussle,individual,male,1985
BIGBANG,group,,
FINNEAS,individual,male,1997
Murilo Huff,,,
Yura Yunita,individual,female,1991
Sabaton,group,,
WOS,,,
TAEYANG,individual,male,1988
Nessa Barrett,individual,female,2002
Hindia,group,,
Ashnikko,individual,female,1996
Anna Kendrick,individual,female,1985
Eyedress,individual,male,1990
Los Gemelos De Sinaloa,,,
LUM!X,,,
Mabel,group,,
Tom Rosenthal,group,,
JEON SOMI,individual,female,2001
Mrs. GREEN APPLE,group,,2015
City Girls,group,,1994
LiSA,group,,
Ali Gatie,individual,male,1997
Little Big Town,group,,1998
Timmy Trumpet,individual,male,1982
Mark Ronson,individual,female,1975
The Strokes,group,,1998
Pesado,,,
Topic,group,,
Edwin Luna y La Trakalosa de Monterrey,,,
Tim McGraw,individual,male,1967
Marca MP,,,
Naps,group,,
Teto,group,,
Sachet Tandon,group,,2017
Grace VanderWaal,individual,female,2004
INTERWORLD,group,,2007
Dove Cameron,individual,female,1996
Gera MX,,,
Stephen Sanchez,individual,male,2002
Polo & Pan,group,,2021
Maggie Lindemann,individual,female,1998
Flo Milli,individual,female,2000
