artist,type,gender,start_date
Warren Zeiders,individual,male,2021
kostromin,group,,
Jenna Raine,,,
Misellia,,,
Def Leppard,group,,1976
Doode,,,
BIA,group,,
Wes Nelson,individual,male,1998
JESSIA,individual,female,2021
My Chemical Romance,group,,2000
grentperez,individual,male,
Badshah,group,,
Chayce Beckham,individual,male,1996
Sadie Jean,individual,female,2002
Joan Jett & the Blackhearts,individual,female,1958
LCD Soundsystem,group,,2002
back number,group,,2004
Toby Romeo,individual,male,2000
MC ORSEN,,,
Jelly Roll,group,,
Navos,group,,2021
Tokischa,individual,female,1996
Lloyd Banks,group,,1982
Niko Moon,individual,male,1982
Tani Yuuki,,,
Dhibu Ninan Thomas,individual,male,2017
Celeste,group,,
Vitor e Luan,,,
Madonna,individual,female,1958
Neoni,,,
Jubin Nautiyal,individual,male,1989
SXMPRA,,,
Tacabro,group,,1984
sangiovanni,individual,male,2003
Los Pericos,group,,1987
VTORNIK,,,
Can Koç,,,
Black Gryph0n,,,
1da Banton,individual,male,1994
Macaroni Empitsu,,,
B Praak,individual,male,1986
FLOW,group,,
Tito Torbellino Jr,,,
Morad,group,,
Arz,group,,
Edgardo Nuñez,,,
Sefo,individual,male,1998
Selena,individual,female,1971
Budi Doremi,,,
3OH!3,group,,
Sam Kim,individual,male,1998
Lyn Lapid,group,,2018
Sugarland,group,,2002
Ritviz,individual,male,1996
Punto40,,,
Khaled,group,,
DG e Batidão Stronda,,,
Jessé Aguiar,,,
Big Red Machine,group,,1970
Cean Jr.,,,
Chance Peña,,,
Victor Cibrian,,,
Stephanie Beatriz,individual,female,1981
raissa anggiani,,,
TREASURE,group,,1996
Benzz,,,
Gyptian,individual,male,1983
Kenia OS,individual,female,1999
Muni Long,individual,female,1988
MC MENOR HR,,,
Leah Kate,individual,female,1992
Tim Berg,group,,1989
PLAYAMANE,,,
MoonDeity,,,
Marco Antonio Solís,individual,male,1959
Stacey Ryan,individual,female,2022
yuji,group,,
Keisya Levronka,individual,female,2003
Bullet For My Valentine,group,,1998
g3ox_em,,,
Kaifi Khalil,individual,male,1996
Ari Abdul,,,
Zaz,group,,
KÖFN,,,
Superstar Pride,individual,male,2002
Nate Smith,group,,
Chefin,,,
MC Tairon,,,
Isolate.exe,,,
Kep1er,,,
BM,group,,
Ghostface Playa,,,
Megan Moroney,individual,female,1997
Sharn,group,,
SunKissed Lola,,,
Luck Ra,,,
southstar,group,,
Rei,group,,
Mother Mother,group,,2016
Beny Jr,,,
Pablito Pesadilla,,,
J Boog,individual,male,1983
imase,individual,male,2000
Awdella,,,
Yohani,individual,female,1993
NAYEON,individual,female,1995
Luis Mexia,,,
Suki Waterhouse,individual,female,1992
Gorilla Zoe,individual,male,1981
Big Time Rush,group,,2009
iñigo quintero,group,,2022
Coi Leray,individual,female,1997
Lizzy McAlpine,,,
ThxSoMch,,,
ONE OK ROCK,group,,2005
Libianca,individual,female,2000
Agnes Obel,individual,female,1980
Nicky Youre,individual,male,1999
Flux Pavilion,individual,male,1989
Bill Evans,group,,1929
Loona,group,,2022
Wet Leg,group,,2019
Griff,group,,
Larissa Lambert,,,
01099,group,,0109
Fedez,individual,male,1989
La Fiera de Ojinaga,,,
DJ Patrick Muniz,,,
SpotemGottem,,,
Ñengo Flow,individual,male,1981
Willie Colón,individual,male,1950
Men Without Hats,group,,1980
Jessica Darrow,individual,female,1995
TWISTED,group,,
La Pantera,individual,male,1964
Oxlade,group,,
El Chachito,,,
Raim Laode,,,
Cris Mj,,,
Omar Apollo,individual,male,1997
MUPP,,,
Eliza Rose,individual,female,1991
LF SYSTEM,,,
Dxrk ダーク,,,
Ayra Starr,individual,female,2002
Alejo,individual,male,1635
Em Beihold,individual,female,1999
Chiddy Bang,group,,2008
Armani White,individual,male,1996
Shae Gill,individual,female,1999
Anggi Marito,,,
LiL CaKe,,,
Keri Hilson,individual,female,1982
Pixote,group,,1980
Payal Dev,individual,female,
Lil Keed,individual,female,1998
Vince Staples,individual,male,1993
SUNMI,individual,female,1992
Vitor Kley,individual,male,1994
Dawin,individual,male,1990
Natalia Jiménez,individual,female,1981
Chris Janson,individual,female,1986
Cody Fry,individual,male,2006
Nico Segal,group,,1993
YFN Lucci,individual,male,1991
Banda Clave Nueva,,,
Xantos,,,
Yall,group,,
Welshly Arms,group,,2013
San Holo,individual,male,1990
Atitude 67,,,
LunchMoney Lewis,individual,male,1988
Smokepurpp,individual,male,1997
Grupo Arranke,,,
Lifehouse,group,,
Absofacto,group,,2008
Jidenna,individual,male,1985
Belly,group,,
SL,group,,
Bicep,group,,
Baby Rasta,group,,1994
Ella Eyre,individual,female,1994
Silvestre Dangond,individual,male,1980
Luke Christopher,individual,male,1993
A.R. Rahman,individual,male,1967
mike.,,,
Rich Homie Quan,individual,male,1989
Tez Cadey,individual,male,1993
Superfruit,group,,
Adam Lambert,individual,male,1982
Mac Ayres,group,,
RHODES,group,,
Kat Dahlia,individual,female,1990
Jamie Lawson,group,,
Cornelio Vega y su Dinastia,,,
Marvin Gaye,individual,male,1939
Pav Dharia,,,
T-Wayne,individual,male,1990
Brennan Savage,,,
Felipe Peláez,,,
Maite Perroni,individual,female,1983
The Revivalists,group,,2007
El Bebeto,,,
MoTrip,,,
Måns Zelmerlöw,individual,male,1986
Annie Lennox,individual,female,1954
Big Shaq,individual,male,1991
1Kilo,,,
Fleur East,individual,female,1987
Feder,group,,
HRVY,individual,female,1999
Jory Boy,group,,2003
Canaan Smith,individual,female,1982
lovelytheband,group,,2016
CamelPhat,,,
Coleman Hell,individual,male,1989
Ryn Weaver,individual,female,1992
Miike Snow,group,,2007
Alice Merton,individual,female,1993
Matt Maltese,individual,male,1997
K.Flay,individual,female,1985
Hayden James,individual,male,2020
Stephen,individual,male,
Jill Scott,group,,
Action Bronson,individual,male,1983
Unlike Pluto,individual,male,2018
Cam,group,,
Yoke Lore,individual,male,
Mario Bautista,individual,male,1993
BOL4,group,,2016
Gwen Stefani,individual,female,1969
Janji,group,,2010
Hollow Coves,group,,
Gigolo Y La Exce,,,
Jetta,group,,
Dirty Heads,group,,2008
Wes Walker,individual,male,1955
Raaban,group,,1987
THE ORAL CIGARETTES,group,,2010
MIIA,group,,
Rodrigo Amarante,individual,male,1976
Caravan Palace,group,,2008
Pastel Ghost,,,
RŮDE,,,
Richy Mitch & The Coal Miners,,,
The Wombats,group,,2003
Monsieur Periné,individual,female,
Redfoo,individual,male,1975
Nathaniel Rateliff & The Night Sweats,individual,male,1978
Madcon,group,,1992
Moon Taxi,group,,2006
Joseph Vincent,individual,female,1989
Nina Nesbitt,individual,female,1994
DISH//,,,
Fink,group,,
Missy & Blonde,,,
Nothing But Thieves,group,,2012
Gang of Youths,group,,2011
Will Sparks,individual,male,1993
"Osmani Garcia ""La Voz""",,,
HENRY,group,,
Mark Forster,group,,
Therapie TAXI,group,,2016
Smino,individual,male,1991
The Japanese House,individual,female,1995
Nimo,group,,
Gaab,group,,
Jason Isbell and the 400 Unit,,,
WINNER,group,,
Nico Santos,group,,
Alkilados,,,
UM44K,,,
Bryce Fox,,,
Richard Marx,individual,male,1963
Jerrod Niemann,individual,female,1979
Cartoon,group,,
Trailerpark,group,,
MGMT,group,,2002
Silk City,group,,
grandson,group,,
Sylvan Esso,group,,2013
Shaggy,group,,
Gorgon City,group,,2014
Future Islands,group,,2006
Dimitri Vegas,group,,2015
A2M,group,,
INNA,individual,female,1986
CAZZETTE,group,,2011
BlocBoy JB,,,
Andy Mineo,group,,1988
Sheck Wes,individual,male,1998
Secondcity,individual,male,1987
INXS,group,,1977
Underworld,group,,
The Civil Wars,group,,2008
John Williams,individual,male,1932
Axel Thesleff,individual,male,1991
Shane Filan,group,,1979
The Barr Brothers,group,,2006
Tribo da Periferia,,,
Vundabar,group,,2013
MC's Jhowzinho & Kadinho,,,
Pia Mia,individual,female,1996
Anna Clendening,individual,female,1993
Emmanuel,group,,
Santa Estilo,,,
Declan McKenna,,,
JAEHYUN,group,,
Ms Nina,group,,2012
DEAN,group,,
Chelsea Cutler,individual,female,1997
Pabllo Vittar,individual,male,1993
Niska,group,,
Morgan Evans,group,,
Haley Reinhart,individual,female,1990
Kalash,group,,
ALMA,group,,
Marcos Menchaca,,,
CARYS,group,,1900
Andra Day,individual,female,1984
Silentó,individual,male,1998
Sheppard,group,,
Finding Hope,,,
Sabrina Claudio,individual,female,1996
Demarco Flamenco,,,
The Blaze,group,,2018
SXTN,,,
Bizzey,group,,1985
Cecilia Krull,individual,female,1986
Yo Yo Honey Singh,individual,male,1983
Daoko,individual,female,1997
Caloncho,individual,male,1986
R. City,group,,2003
Gabriela Rocha,group,,
Petit Biscuit,individual,male,1999
Puri,group,,
Jacob Forever,,,
TAEYEON,individual,female,1989
Valentino,group,,
TOTO,group,,
Joel Adams,group,,1750
MC Gustta,,,
Ember Island,group,,
Charlie Cunningham,individual,male,1948
Ruelle,group,,
Alex Sensation,,,
SiR,group,,
Solange,individual,female,
Nathan Goshen,individual,male,1986
filous,individual,male,1997
Pepe Quintana,,,
FÄIS,,,
Conor Maynard,individual,male,1992
Fourtwnty,,,
gnash,group,,
Unknown Brain,group,,1955
CHEN,group,,
Starley,group,,
Shakey Graves,individual,male,1987
DRAM,group,,
Rob $tone,,,
Beach Weather,group,,2015
99 Souls,group,,2015
Hearts & Colors,group,,2014
Projota,,,
Baby Tate,group,,
FRENSHIP,group,,2016
Burak Yeter,individual,male,1982
Krept & Konan,individual,female,1990
Willy William,individual,male,1981
John Coltrane,individual,male,1926
Rachel House,group,,
Granger Smith,individual,male,1979
Daniela Andrade,individual,female,1992
Troy Ave,individual,male,1985
Local Natives,group,,2008
Ramin Djawadi,individual,male,1974
Saba,group,,
Andreas Gabalier,individual,male,1984
Lord Huron,group,,2012
Maty Noyes,individual,female,1997
DJ ESCO,,,
Rafaga,group,,1995
Marcus & Martinus,group,,2002
Christine and the Queens,individual,male,1988
Era Istrefi,individual,female,1994
VÉRITÉ,individual,female,1990
Bethel Music,group,,2001
BADBADNOTGOOD,group,,2010
Donovan Woods,group,,
Hermitude,group,,1994
MHD,,,
Henrique & Diego,,,
Crecer German,,,
Alexis y Fido,group,,2008
Last Child,group,,1976
Revol,group,,
Jalen Santoy,,,
Olivia Holt,individual,female,1997
Father John Misty,individual,male,1981
Vancouver Sleep Clinic,individual,female,2013
Marian Hill,group,,2014
Timeflies,group,,2010
Yandar & Yostin,,,
Thalia,group,,
Isaiah Firebrace,individual,male,1999
Imany,individual,female,1979
Møme,individual,female,1989
Ryan Gosling,individual,male,1980
Jon Z,individual,female,1991
Grupo Codiciado,,,
Christian Leave,individual,male,2000
Yiyo Sarante,,,
ItaloBrothers,,,
CHANYEOL,individual,male,1992
Bomba Estéreo,group,,2005
Opetaia Foa'i,,,
Porter Robinson,individual,male,1992
Auli'i Cravalho,,,
The Strumbellas,group,,2008
Klasico,,,
Justin Hurwitz,individual,male,1985
KAYTRANADA,individual,male,1992
Crush,group,,
The Struts,group,,2012
Anderson .Paak,individual,male,1986
Sin Bandera,group,,2000
Ugly God,individual,male,1996
IAmChino,,,
Ben Platt,individual,male,1993
Nebu Kiniza,individual,male,1994
Joy Again,group,,2014
Kent Jones,group,,
Ñejo & Dalmata,group,,1975
Niykee Heaton,individual,female,1994
Tujamo,individual,male,1988
Nathan Sykes,individual,male,1993
PLVTINUM,,,
Celia Cruz,individual,female,1925
50 Cent,individual,male,1975
Kurt Vile,individual,male,1980
MiyaGi & Endspiel,,,
MAKJ,group,,2012
Jay Park,individual,female,1987
Anna Naklab,individual,female,1993
LP,group,,
Keala Settle,individual,female,1975
BANNERS,group,,
Chord Overstreet,individual,male,1989
Leopanforte,,,
Joe Arroyo,individual,male,1955
Rubén Blades,individual,female,1948
Maribou State,group,,2015
Zac Efron,individual,male,1987
Green Day,group,,1987
Mobb Deep,group,,1991
Gustavo Cerati,group,,1959
Portugal. The Man,group,,2001
Wafia,individual,female,1993
Brandon Beal,individual,male,1983
Nekfeu,individual,male,1990
K.I.Z,group,,2018
CL,group,,
Daveed Diggs,individual,male,1982
Us The Duo,group,,2011
Jai Wolf,individual,male,1991
James Hersey,individual,male,1988
Marama,group,,
Eva Simons,individual,female,1984
Alfons,group,,
Tinlicker,group,,2012
Breaking Benjamin,group,,1999
Dzeko & Torres,group,,
El Komander,,,
Ayo & Teo,group,,2011
Ramz,group,,2006
TIAGO IORC,individual,male,1985
Carnage,group,,
Circa Waves,group,,2013
Bishop Briggs,individual,female,1992
Kontra K,individual,female,2017
Hayley Kiyoko,individual,female,1991
WSTRN,individual,female,2015
Preto no Branco,,,
Ben Rector,individual,female,1986
NBSPLV,,,
NEEDTOBREATHE,group,,2001
Pinkfong,group,,2023
DJ Drama,,,
Sertab Erener,individual,female,1964
Scarlett Johansson,individual,female,1984
BURNOUT SYNDROMES,group,,2005
Katie Melua,individual,female,1984
Kamaiyah,individual,female,1992
The Black Skirts,individual,male,1982
Lauren Alaina,individual,female,1994
Zella Day,individual,female,1995
Ricardo Montaner,individual,male,1957
Alexio,individual,male,1959
Eric Chou,individual,male,1995
Taburete,group,,
La Sonora Dinamita,group,,1960
Deftones,group,,1988
Van Morrison,individual,male,1945
Reykon,individual,male,1986
The Mayries,,,
Blonde,group,,
Griffinilla,,,
Lemaitre,group,,
SAMSONS,group,,2003
DOPE LEMON,individual,male,1986
Sak Noel,individual,male,1983
Dharius,group,,1984
Jay Sean,individual,male,1981
Jasmine Cephas-Jones,,,
Charlotte Day Wilson,individual,female,1993
Dreezy,individual,female,1994
Ayo Jay,individual,male,1989
Placebo,group,,
Walking On Cars,,,
Paulina Rubio,individual,female,1971
TheOvertunes,,,
Miami Yacine,,,
Alle Farben,individual,male,1985
Raça Negra,group,,1983
Mueka,,,
A.B. Quintanilla III Y Los Kumbia Kings,,,
Banda Neira,group,,
VIC MENSA,individual,male,1993
Jay Chou,individual,male,1979
Maleek Berry,individual,male,1987
Grupo Maximo Grado,,,
Izzy Bizu,individual,female,1994
PornoGraffitti,group,,1990
The PropheC,,,
Dustin Tebbutt,group,,2013
OMFG,group,,
King Princess,individual,female,1998
jagger finn,,,
Tom Petty,individual,male,1950
Faul & Wad,,,
Leona Lewis,individual,female,1985
Virgoun,,,
Akhil,group,,
SoFaygo,individual,male,2001
MAMAMOO,group,,
Beéle,,,
Jack & Jack,group,,2014
Vishal Mishra,group,,
James Blunt,individual,male,1974
Luh Kel,individual,male,2002
mxmtoon,individual,female,2000
Lucky Luke,individual,male,1946
Villagers,group,,
awfultune,,,
A-Wall,,,
The Backseat Lovers,group,,2018
TOKYO’S REVENGE,,,
Tommee Profitt,individual,male,1984
José González,group,,
Sevyn Streeter,individual,female,1986
Aaron May,,,
We The Kings,group,,2005
Rotimi,group,,
Kevin Abstract,individual,male,1996
Pk,group,,
John K,group,,
Lily Allen,individual,female,1985
Young T & Bugsey,group,,2016
Ghetto Kids,group,,2014
Heuss L'enfoiré,individual,male,1992
KEVVO,individual,male,1998
Tropkillaz,group,,2019
Yung Lean,individual,male,1996
Stephanie Poetri,individual,female,2000
Cigarettes After Sex,group,,2008
Woodkid,individual,male,1983
GIULIA BE,individual,female,1999
Sonder,group,,
Luíza & Maurílio,,,
Noriel,individual,male,
Jonas Esticado,,,
Juju,group,,
DaniLeigh,,,
Justin Wellington,individual,male,1978
Goose house,,,
The National,group,,
Kaash Paige,individual,female,2001
Liana Flores,,,
Imran Khan,individual,female,1952
SLANDER,group,,
Traviezoz de la Zierra,,,
Fly Project,group,,2005
HAIM,group,,
PUBLIC,group,,
Ace Hood,individual,male,1988
Rufus Wainwright,individual,female,1973
Julia Sheer,,,
Yot Club,individual,male,2022
Helene Fischer,individual,female,1984
Juicy J,group,,1975
Dropkick Murphys,group,,1996
Los Bunkers,group,,1999
The War On Drugs,group,,2005
Ministério Zoe,,,
What So Not,group,,
Wankelmut,individual,male,1987
Parra for Cuva,individual,male,1991
Natalie Taylor,group,,
Don Patricio,,,
Haze,group,,
Cody Simpson,individual,male,1997
Gloria Trevi,individual,female,1968
Zendaya,individual,female,1996
Endor,group,,
YK Osiris,,,
Jack Johnson,group,,
Ant Saunders,individual,female,2019
Nina Simone,individual,female,1933
iKON,group,,
Vierre Cloud,,,
Master KG,,,
Blanco Brown,individual,female,1985
Alligatoah,individual,male,1989
Wilkinson,group,,
Peach Tree Rascals,group,,
Bakar,group,,2011
CHVRCHES,group,,2011
Ylvis,group,,2000
Baby Rasta & Gringo,group,,1994
Paul Kalkbrenner,individual,male,1977
M.I.A.,group,,
ChocQuibTown,group,,
J.I the Prince of N.Y,,,
Easton Corbin,individual,male,1982
The Shins,group,,1996
Rhys Lewis,group,,
True Damage,group,,2009
Marracash,individual,male,2010
MIKA,group,,
WayV,group,,2023
Casa Worship,,,
Destiny Rogers,individual,female,1999
美波,,,
María José,group,,
Karmin,group,,2011
AVAION,,,
Ruben,group,,
Hot Shade,,,
Marteria,individual,male,1982
COIN,group,,
Atlas Genius,group,,2009
Dolu Kadehi Ters Tut,group,,2014
Grupo 360,,,
Los Retros,,,
Serena,group,,
Snoh Aalegra,individual,female,1987
salvia palth,,,
FKJ,,,
Calein,,,
Gambi,group,,
Neo Pistea,group,,2019
Lexa,group,,
Jul,group,,
Faithless,group,,1995
Oscar Peterson,group,,1925
Daun Jatuh,,,
In This Moment,group,,2005
2KBABY,,,
Jerome,individual,male,
LA YOUNG,,,
UPSAHL,individual,female,1998
Knife Party,group,,2013
Alan Silvestri,individual,male,1950
Sigrid,group,,
Benji & Fede,group,,2018
Omar Montes,individual,male,1988
YouNotUs,group,,2015
Gilsons,,,
Gradur,individual,male,1990
JayDaYoungan,individual,male,1998
GAMPER & DADONI,,,
Lil Loaded,individual,male,2000
Koffee,individual,female,2000
Die Antwoord,group,,2008
Rochak Kohli,group,,2012
Swae Lee,individual,male,1993
Gary Allan,individual,male,1967
C-Kan,individual,male,1987
Faye Webster,individual,female,1997
Hopsin,individual,male,1985
Soegi Bornean,,,
Robin Thicke,individual,male,1977
Pharmacist,group,,
Akhil Sachdeva,individual,male,2009
John Newman,group,,
Black Pumas,individual,male,2020
Parker McCollum,,,
Darius Rucker,individual,male,1966
Confetti,group,,
King Gnu,group,,2013
Cazzu,individual,female,1993
Ludovico Einaudi,individual,male,1955
Ilkay Sencan,,,
JR Torres,,,
Javiielo,,,
Ciro y los Persas,,,
Motionless In White,group,,2004
Dadá Boladão,,,
Ari Lennox,individual,female,1991
Warren G,individual,male,1970
Maximillian,group,,
Will Smith,individual,male,1968
Samra,group,,
JONY,group,,
FILV,,,
Wiley,group,,
Hardwell,individual,male,1988
Di Propósito,,,
Lindsey Stirling,individual,female,1986
Nanpa Básico,,,
Luke Chiang,,,
Cannons,group,,
Maffio,individual,male,1986
Armaan Malik,individual,male,1995
The Piano Guys,group,,2011
dhruv,group,,
Gabrielle Aplin,individual,female,1992
Gesaffelstein,individual,female,1987
Kenny Man,,,
Cold War Kids,group,,
ILOVEMAKONNEN,,,
The Avener,individual,male,1987
Blackway,group,,2015
El Profesor,group,,
SoMo,group,,
First Aid Kit,group,,
MarMar Oso,,,
Videoclub,group,,2018
Lagum,,,
Mitchell Tenpenny,individual,female,1989
KURT,group,,
Au/Ra,individual,female,2002
Louis The Child,,,
Rascal Flatts,group,,1999
Don Miguelo,individual,male,1981
Idina Menzel,individual,female,1971
Yannc,,,
Kwabs,individual,male,1990
Molchat Doma,group,,2017
KONGOS,group,,
Bas,group,,
Pendarra,,,
Javed-Mohsin,group,,
Darci,group,,
Alemán,group,,
Poo Bear,individual,male,2004
Kiesza,individual,female,1989
Anuv Jain,individual,male,
Natalie La Rose,individual,female,1988
MOMOLAND,group,,2016
Simge,group,,
Novo Amor,individual,male,1991
RL Grime,,,
Rich Gang,group,,1991
Oliver Heldens,individual,female,1995
TK from Ling tosite sigure,,,
Teyana Taylor,individual,female,1990
Seinabo Sey,individual,female,1990
KANA-BOON,group,,2008
Marwa Loud,individual,female,1996
Manu Pilas,,,
Queen Naija,individual,female,1995
Takeoff,group,,
Dillon Francis,individual,male,1987
Paula Fernandes,individual,female,1984
Philip George,group,,
Men I Trust,group,,2014
Kris Kross Amsterdam,group,,1990
Jawad Ahmad,individual,male,
MC L da Vinte,,,
Marlon Roudette,individual,male,2006
Witt Lowry,,,
Xavier Wulf,individual,male,1992
Cheriimoya,,,
Jungle,group,,
Magic System,group,,1996
80purppp,,,
Caos,group,,
Dayvi,,,
Shy Glizzy,individual,male,1992
flora cash,group,,2012
Jubël,group,,
Colt Ford,individual,male,1969
Los Tigres Del Norte,group,,1968
Social House,group,,2020
Calboy,individual,male,1999
Céline Dion,individual,female,1968
Payung Teduh,,,
Bad Wolves,group,,2017
Kyla La Grange,individual,female,1986
88rising,group,,
Chayín Rubio,,,
Jessie Ware,individual,female,1984
El Chapo De Sinaloa,individual,male,1964
Maddie & Tae,group,,2014
03 Greedo,individual,male,1987
Leslie Grace,individual,female,1995
Karen Harding,individual,female,1991
James Newton Howard,individual,male,1951
João Gustavo e Murilo,,,
Gaullin,,,
Trinidad Cardona,individual,male,1999
Nick Mulvey,individual,male,1984
Sofia Karlberg,individual,female,1996
LANCO,group,,
The Carters,group,,2018
Roo Panes,individual,female,1988
Everybody Loves an Outlaw,,,
AFROJACK,individual,male,1987
DJ Pablito,,,
El de La Guitarra,,,
Adam Levine,group,,1979
Big Yamo,,,
Julio Melgar,,,
MERO,group,,
NCT,group,,
Grupo Revelação,,,
Banx & Ranx,group,,2014
Capo Plaza,group,,2018
MC WM,,,
Smallpools,group,,2013
PDL,,,
Colmillo Norteño,,,
Bradley Cooper,individual,male,1975
Chris Lake,individual,male,1982
Magnus Haven,group,,
juan karlos,group,,2018
The Walters,group,,2014
Janelle Monáe,individual,female,1985
Clau,individual,female,1996
Parcels,group,,2014
Tessa Violet,group,,2014
Shordie Shordie,,,
Lilly Wood and The Prick,,,
Isak Danielson,individual,male,1997
Damas Gratis,group,,2000
The Prince Karma,group,,2018
Airbag,group,,
Surf Mesa,individual,female,2000
Earl Sweatshirt,individual,male,1994
Y2K,group,,
Rhye,group,,2013
Claptone,group,,
Escape the Fate,group,,2004
Mariah Carey,individual,female,1969
The Clash,group,,1976
Masked Wolf,individual,male,1991
Los Primos MX,,,
Ray LaMontagne,individual,female,1973
Pantera,group,,1981
Tristam,individual,male,
Elliot Moss,group,,2015
Daughtry,group,,
Silent Sanctuary,group,,2001
Nas,individual,male,1973
Lary Over,group,,2007
Ocean Alley,group,,
Heroes Del Silencio,group,,1980
Tom Misch,individual,male,1995
Lartiste,individual,male,1985
IZ*ONE,group,,
Cauty,individual,female,
RIN,group,,
Salmo,group,,
Vansire,group,,
Yüzyüzeyken Konuşuruz,group,,2011
Rauf & Faik,group,,1999
Young Money,individual,female,2005
Aaryan Shah,,,
Johnny Orlando,individual,male,2003
Sezairi,,,
Matt Maeson,individual,male,1993
Yorushika,group,,2017
Raymix,individual,male,1991
I Belong to the Zoo,,,
Route 94,group,,
The Fontane Sisters,group,,
Amber Run,group,,
G.R.L.,group,,
Devin Dawson,individual,male,1989
Tinashe,individual,female,1993
Peter Manos,,,
Angèle,group,,
Omarion,individual,male,1984
Bobby Shmurda,individual,male,1994
Lomepal,individual,male,1991
The Macarons Project,,,
Maninder Buttar,individual,male,2015
Hal,group,,
Márcia Fellipe,,,
GASHI,group,,
Aaron Smith,group,,
Mr.Kitty,individual,male,1992
Alex & Sierra,group,,1991
Thirty Seconds To Mars,group,,1998
Rixton,group,,2012
PENTAGON,group,,
Paloma Faith,individual,female,1981
Ozzy Osbourne,individual,male,1948
Noisestorm,individual,male,1995
Kany García,individual,female,1982
Nabález,,,
AronChupa,individual,male,1991
Kiana Ledé,individual,female,1997
MC Kekel,,,
Liberación,group,,
